timestamp,amplitude,frequency
1746727302.517,0.676,538.396
1746727304.813,0.564,539.792
1746727306.046,0.503,540.000
1746727306.664,0.472,539.961
1746727306.950,0.458,539.910
1746727307.095,0.450,539.877
1746727307.202,0.445,539.849
1746727307.295,0.441,539.823
1746727307.301,0.440,539.821
1746727307.306,0.440,539.819
1746727307.310,0.440,539.818
1746727307.316,0.440,539.816
1746727307.320,0.439,539.815
1746727307.330,0.439,539.812
1746727307.332,0.439,539.811
1746727307.338,0.438,539.810
1746727307.343,0.438,539.808
1746727307.348,0.438,539.807
1746727307.353,0.438,539.805
1746727307.357,0.438,539.804
1746727307.362,0.437,539.802
1746727307.373,0.437,539.799
1746727307.382,0.436,539.796
1746727307.389,0.436,539.794
1746727307.438,0.433,539.777
1746727307.488,0.431,539.761
1746727307.493,0.431,539.759
1746727307.496,0.431,539.758
1746727307.501,0.430,539.756
1746727307.507,0.430,539.754
1746727307.513,0.430,539.752
1746727307.559,0.428,539.736
1746727307.601,0.425,539.720
1746727307.646,0.423,539.703
1746727307.651,0.423,539.701
1746727307.653,0.423,539.700
1746727307.657,0.423,539.698
1746727307.689,0.421,539.686
1746727307.693,0.421,539.684
1746727307.697,0.421,539.683
1746727307.700,0.421,539.682
1746727307.704,0.420,539.680
1746727307.708,0.420,539.678
1746727307.711,0.420,539.677
1746727307.714,0.420,539.676
1746727307.719,0.420,539.674
1746727307.722,0.419,539.673
1746727307.726,0.419,539.671
1746727307.731,0.419,539.669
1746727307.734,0.419,539.668
1746727307.737,0.419,539.667
1746727307.741,0.418,539.665
1746727307.745,0.418,539.664
1746727307.748,0.418,539.662
1746727307.752,0.418,539.661
1746727307.755,0.418,539.659
1746727307.759,0.418,539.658
1746727307.764,0.417,539.656
1746727307.768,0.417,539.654
1746727307.773,0.417,539.652
1746727307.778,0.417,539.650
1746727307.781,0.417,539.649
1746727307.786,0.416,539.647
1746727307.791,0.416,539.644
1746727307.797,0.416,539.642
1746727307.804,0.415,539.639
1746727307.807,0.415,539.638
1746727307.813,0.415,539.635
1746727307.816,0.415,539.634
1746727307.821,0.415,539.632
1746727307.827,0.414,539.629
1746727307.832,0.414,539.627
1746727307.843,0.413,539.622
1746727307.845,0.413,539.621
1746727307.851,0.413,539.619
1746727307.855,0.413,539.617
1746727307.859,0.413,539.615
1746727307.866,0.412,539.612
1746727307.873,0.412,539.609
1746727307.928,0.409,539.584
1746727307.975,0.407,539.563
1746727307.981,0.407,539.560
1746727307.987,0.406,539.557
1746727307.991,0.406,539.555
1746727308.042,0.404,539.531
1746727308.086,0.402,539.509
1746727308.123,0.400,539.491
1746727308.128,0.399,539.488
1746727308.138,0.399,539.483
1746727308.141,0.399,539.482
1746727308.146,0.399,539.479
1746727308.149,0.398,539.478
1746727308.152,0.398,539.476
1746727308.157,0.398,539.473
1746727308.160,0.398,539.472
