timestamp,qw,qx,qy,qz,roll,pitch,yaw
1746727393.893,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.903,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.913,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.923,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.933,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.943,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.953,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.963,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.973,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.983,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727393.993,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.003,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.013,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.023,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.033,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.043,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.053,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.063,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.073,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.083,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.093,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.890,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.900,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.910,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.920,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.930,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.940,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.950,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.960,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.970,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.980,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.990,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.000,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.010,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.020,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.030,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.040,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.050,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.060,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.070,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.080,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.090,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.892,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.902,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.912,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.922,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.932,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.942,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.952,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.962,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.972,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.982,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.992,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.002,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.012,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.022,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.032,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.042,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.052,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.062,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.072,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.082,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.092,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.894,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.904,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.914,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.924,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.934,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.944,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.954,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.964,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.974,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.984,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727394.994,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.004,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.014,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.024,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.034,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.044,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
1746727395.054,0.794,-0.278,0.188,-0.507,-39.208,0.979,-65.457
