timestamp,qw,qx,qy,qz,roll,pitch,yaw
1746733507.890,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.900,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.910,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.920,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.930,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.940,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.950,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.960,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.970,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.980,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.990,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.000,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.010,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.020,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.030,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.040,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.050,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.060,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.070,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.080,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.090,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.892,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.902,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.912,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.922,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.932,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.942,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.952,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.962,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.972,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.982,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.992,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.002,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.012,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.022,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.032,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.042,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.052,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.062,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.072,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.082,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.092,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.894,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.904,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.914,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.924,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.934,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.944,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.954,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.964,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.974,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.984,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733507.994,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.004,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.014,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.024,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.034,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.044,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.054,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.064,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.074,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.084,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.094,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.891,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.901,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.911,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.921,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.931,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.941,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.951,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.961,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.971,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.981,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.991,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.001,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.011,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.021,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.031,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.041,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.051,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.061,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.071,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.081,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.091,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.893,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.903,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.913,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.923,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.933,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.943,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.953,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.963,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.973,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.983,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733508.993,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.003,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.013,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.023,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.033,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
1746733509.043,-0.033,0.880,-0.474,-0.014,-177.435,3.265,-56.610
