timestamp,value1,value2,value3
1746733516.586,8.345,-1.963,0.358
1746733519.397,6.488,0.791,1.708
1746733520.690,5.453,2.027,1.975
1746733521.569,4.696,2.795,1.989
1746733522.103,4.218,3.221,1.930
1746733522.399,3.948,3.441,1.876
1746733522.543,3.815,3.544,1.845
1746733522.645,3.721,3.616,1.820
1746733522.650,3.716,3.619,1.819
1746733522.655,3.711,3.623,1.818
1746733522.658,3.708,3.625,1.817
1746733522.663,3.704,3.628,1.816
1746733522.667,3.700,3.631,1.815
1746733522.672,3.695,3.634,1.814
1746733522.677,3.691,3.638,1.812
1746733522.680,3.688,3.640,1.812
1746733522.683,3.685,3.642,1.811
1746733522.688,3.681,3.645,1.810
1746733522.692,3.677,3.648,1.808
1746733522.695,3.674,3.650,1.808
1746733522.700,3.669,3.654,1.806
1746733522.703,3.666,3.656,1.806
1746733522.707,3.663,3.659,1.804
1746733522.774,3.600,3.704,1.787
1746733522.826,3.552,3.739,1.773
1746733522.947,3.439,3.818,1.738
1746733523.029,3.361,3.870,1.713
1746733523.033,3.357,3.873,1.712
1746733523.037,3.353,3.875,1.710
1746733523.041,3.350,3.878,1.709
1746733523.045,3.347,3.880,1.708
1746733523.049,3.343,3.883,1.707
1746733523.051,3.340,3.884,1.706
1746733523.055,3.337,3.887,1.705
1746733523.060,3.332,3.890,1.703
1746733523.063,3.330,3.891,1.702
1746733523.067,3.326,3.894,1.701
1746733523.072,3.321,3.897,1.700
1746733523.075,3.318,3.899,1.699
1746733523.080,3.314,3.902,1.697
1746733523.085,3.309,3.905,1.696
1746733523.087,3.307,3.906,1.695
1746733523.091,3.303,3.909,1.693
1746733523.096,3.298,3.912,1.692
1746733523.099,3.295,3.914,1.691
1746733523.104,3.291,3.917,1.689
1746733523.108,3.287,3.920,1.688
1746733523.110,3.285,3.921,1.687
1746733523.116,3.279,3.925,1.685
1746733523.148,3.249,3.944,1.675
1746733523.180,3.219,3.964,1.665
1746733523.184,3.215,3.966,1.663
1746733523.188,3.211,3.969,1.662
1746733523.193,3.207,3.972,1.660
1746733523.196,3.204,3.973,1.659
1746733523.200,3.200,3.976,1.658
1746733523.202,3.198,3.977,1.657
1746733523.206,3.194,3.980,1.656
1746733523.211,3.190,3.983,1.654
1746733523.213,3.187,3.984,1.653
1746733523.217,3.184,3.986,1.652
1746733523.221,3.180,3.989,1.651
1746733523.225,3.177,3.991,1.649
1746733523.228,3.173,3.993,1.648
1746733523.232,3.169,3.996,1.647
1746733523.236,3.166,3.998,1.646
1746733523.240,3.162,4.000,1.644
1746733523.292,3.112,4.031,1.626
1746733523.338,3.069,4.058,1.610
1746733523.383,3.026,4.084,1.594
1746733523.390,3.020,4.088,1.592
1746733523.394,3.016,4.091,1.590
1746733523.399,3.011,4.093,1.588
1746733523.405,3.005,4.097,1.586
1746733523.409,3.001,4.099,1.584
1746733523.415,2.996,4.103,1.582
1746733523.419,2.992,4.105,1.581
1746733523.423,2.988,4.107,1.579
1746733523.429,2.983,4.110,1.577
1746733523.432,2.980,4.112,1.576
1746733523.438,2.974,4.116,1.574
1746733523.441,2.970,4.118,1.573
1746733523.447,2.965,4.121,1.570
1746733523.453,2.959,4.125,1.568
1746733523.456,2.956,4.126,1.567
1746733523.461,2.952,4.129,1.565
1746733523.466,2.946,4.132,1.563
1746733523.469,2.944,4.133,1.562
1746733523.474,2.939,4.136,1.560
1746733523.479,2.934,4.139,1.558
1746733523.483,2.930,4.141,1.557
1746733523.488,2.926,4.144,1.555
1746733523.492,2.922,4.146,1.553
1746733523.498,2.916,4.150,1.551
1746733523.504,2.911,4.153,1.549
1746733523.506,2.908,4.154,1.548
1746733523.511,2.904,4.157,1.546
1746733523.517,2.898,4.160,1.544
1746733523.521,2.895,4.162,1.543
1746733523.526,2.890,4.165,1.541
1746733523.530,2.885,4.168,1.539
1746733523.546,2.871,4.176,1.533
1746733523.589,2.829,4.200,1.516
1746733523.641,2.779,4.227,1.496
1746733523.683,2.739,4.250,1.479
1746733523.689,2.733,4.253,1.477
1746733523.691,2.731,4.254,1.476
1746733523.730,2.693,4.275,1.460
1746733523.768,2.656,4.294,1.444
1746733523.774,2.651,4.297,1.442
1746733523.780,2.645,4.300,1.439
1746733523.784,2.642,4.302,1.437
1746733523.789,2.637,4.305,1.435
1746733523.794,2.632,4.307,1.433
1746733523.798,2.628,4.309,1.432
1746733523.803,2.623,4.312,1.429
1746733523.807,2.619,4.314,1.428
1746733523.816,2.611,4.318,1.424
1746733523.822,2.604,4.322,1.421
1746733523.830,2.597,4.325,1.418
1746733523.837,2.590,4.329,1.415
1746733523.849,2.579,4.335,1.410
1746733523.855,2.572,4.338,1.407
1746733523.861,2.567,4.341,1.405
1746733523.867,2.561,4.344,1.402
1746733523.875,2.554,4.348,1.399
1746733523.881,2.548,4.351,1.396
1746733523.889,2.540,4.355,1.393
1746733523.892,2.537,4.356,1.392
1746733523.900,2.529,4.360,1.388
1746733523.903,2.527,4.362,1.387
1746733523.909,2.520,4.365,1.384
1746733523.915,2.515,4.368,1.382
1746733523.923,2.508,4.371,1.378
1746733523.925,2.505,4.372,1.377
1746733523.931,2.500,4.375,1.375
1746733523.937,2.494,4.378,1.372
1746733523.942,2.488,4.381,1.370
1746733523.949,2.482,4.384,1.367
1746733523.953,2.478,4.386,1.365
1746733523.959,2.472,4.389,1.362
1746733523.963,2.469,4.391,1.361
1746733523.967,2.464,4.393,1.359
1746733523.976,2.456,4.397,1.355
1746733523.979,2.453,4.398,1.354
1746733524.019,2.414,4.417,1.336
1746733524.055,2.379,4.434,1.320
1746733524.060,2.374,4.436,1.318
1746733524.065,2.369,4.439,1.315
1746733524.070,2.365,4.441,1.313
1746733524.074,2.361,4.443,1.311
1746733524.079,2.356,4.445,1.309
1746733524.083,2.352,4.447,1.307
1746733524.086,2.349,4.448,1.306
1746733524.091,2.344,4.450,1.303
1746733524.094,2.341,4.452,1.302
1746733524.133,2.303,4.469,1.284
1746733524.205,2.233,4.501,1.251
1746733524.212,2.226,4.504,1.248
1746733524.216,2.223,4.506,1.246
1746733524.221,2.217,4.508,1.243
1746733524.226,2.213,4.510,1.241
1746733524.237,2.202,4.515,1.236
1746733524.242,2.198,4.517,1.234
1746733524.249,2.190,4.520,1.230
1746733524.256,2.183,4.523,1.227
1746733524.265,2.175,4.527,1.223
1746733524.268,2.171,4.528,1.221
1746733524.275,2.165,4.531,1.218
1746733524.281,2.159,4.534,1.215
1746733524.287,2.153,4.536,1.212
1746733524.291,2.149,4.538,1.210
1746733524.298,2.142,4.541,1.207
1746733524.305,2.136,4.544,1.204
1746733524.313,2.128,4.547,1.200
1746733524.317,2.124,4.549,1.198
1746733524.324,2.117,4.552,1.195
1746733524.326,2.115,4.553,1.193
1746733524.332,2.109,4.555,1.190
1746733524.336,2.105,4.557,1.188
1746733524.342,2.099,4.559,1.186
1746733524.349,2.093,4.562,1.182
1746733524.355,2.086,4.565,1.179
1746733524.362,2.080,4.567,1.176
1746733524.366,2.076,4.569,1.174
1746733524.373,2.069,4.572,1.171
1746733524.376,2.066,4.573,1.169
1746733524.382,2.060,4.576,1.166
1746733524.385,2.057,4.577,1.165
1746733524.390,2.052,4.579,1.162
1746733524.443,2.001,4.600,1.136
1746733524.504,1.941,4.623,1.106
1746733524.543,1.903,4.638,1.087
1746733524.582,1.864,4.653,1.067
1746733524.615,1.832,4.664,1.050
1746733524.620,1.827,4.666,1.047
1746733524.624,1.823,4.668,1.046
1746733524.629,1.818,4.669,1.043
1746733524.631,1.816,4.670,1.042
1746733524.636,1.811,4.672,1.039
1746733524.641,1.807,4.674,1.037
1746733524.643,1.804,4.674,1.036
1746733524.648,1.800,4.676,1.033
1746733524.652,1.795,4.678,1.031
1746733524.655,1.793,4.679,1.030
1746733524.659,1.788,4.680,1.027
1746733524.664,1.784,4.682,1.025
1746733524.666,1.781,4.683,1.024
1746733524.671,1.776,4.684,1.021
1746733524.676,1.771,4.686,1.018
1746733524.678,1.770,4.687,1.017
1746733524.683,1.765,4.689,1.015
1746733524.688,1.760,4.690,1.012
1746733524.690,1.758,4.691,1.011
1746733524.694,1.754,4.692,1.009
1746733524.700,1.749,4.694,1.006
1746733524.701,1.747,4.695,1.005
1746733524.706,1.742,4.697,1.003
1746733524.711,1.737,4.698,1.000
1746733524.714,1.735,4.699,0.999
1746733524.719,1.730,4.701,0.996
1746733524.724,1.725,4.703,0.994
1746733524.726,1.722,4.703,0.993
1746733524.731,1.718,4.705,0.990
1746733524.736,1.713,4.707,0.987
1746733524.739,1.710,4.708,0.986
1746733524.744,1.705,4.709,0.983
1746733524.749,1.700,4.711,0.981
1746733524.751,1.698,4.712,0.980
1746733524.756,1.693,4.714,0.977
1746733524.763,1.687,4.716,0.974
1746733524.767,1.682,4.717,0.971
1746733524.773,1.676,4.719,0.968
1746733524.776,1.673,4.720,0.966
1746733524.780,1.669,4.721,0.964
1746733524.786,1.663,4.723,0.961
1746733524.790,1.660,4.725,0.959
1746733524.796,1.654,4.727,0.956
1746733524.840,1.610,4.741,0.933
1746733524.896,1.555,4.758,0.903
1746733524.903,1.548,4.760,0.899
1746733524.910,1.541,4.763,0.895
1746733524.913,1.538,4.764,0.894
1746733524.920,1.531,4.766,0.890
1746733524.926,1.526,4.767,0.887
1746733524.982,1.470,4.784,0.856
1746733525.051,1.402,4.803,0.819
1746733525.116,1.337,4.821,0.783
1746733525.127,1.326,4.824,0.777
1746733525.134,1.320,4.826,0.773
1746733525.142,1.312,4.828,0.769
1746733525.149,1.304,4.830,0.765
1746733525.158,1.296,4.832,0.760
1746733525.167,1.287,4.834,0.755
1746733525.172,1.282,4.836,0.752
1746733525.178,1.276,4.837,0.749
1746733525.182,1.272,4.838,0.747
1746733525.189,1.265,4.840,0.743
1746733525.194,1.260,4.841,0.740
1746733525.204,1.250,4.844,0.734
1746733525.254,1.200,4.856,0.706
