timestamp,amplitude,frequency
1746751876.032,0.368,340.892
1746751876.167,0.361,340.984
1746751876.170,0.361,340.987
1746751876.171,0.361,340.987
1746751876.173,0.361,340.988
1746751876.174,0.361,340.989
1746751876.175,0.361,340.990
1746751876.176,0.361,340.991
1746751876.177,0.361,340.992
1746751876.179,0.361,340.993
1746751876.180,0.361,340.993
1746751876.181,0.361,340.994
1746751876.182,0.361,340.995
1746751876.184,0.361,340.996
1746751876.185,0.361,340.997
1746751876.186,0.360,340.998
1746751876.188,0.360,340.999
1746751876.189,0.360,341.000
1746751876.190,0.360,341.001
1746751876.192,0.360,341.002
1746751876.193,0.360,341.003
1746751876.194,0.360,341.004
1746751876.195,0.360,341.004
1746751876.197,0.360,341.005
1746751876.198,0.360,341.006
1746751876.199,0.360,341.007
1746751876.200,0.360,341.008
1746751876.202,0.360,341.009
1746751876.203,0.360,341.010
1746751876.204,0.360,341.011
1746751876.206,0.360,341.012
1746751876.207,0.359,341.013
1746751876.208,0.359,341.013
1746751876.209,0.359,341.014
1746751876.211,0.359,341.015
1746751876.212,0.359,341.016
1746751876.213,0.359,341.017
1746751876.215,0.359,341.018
1746751876.216,0.359,341.019
1746751876.217,0.359,341.020
1746751876.218,0.359,341.021
1746751876.220,0.359,341.022
1746751876.221,0.359,341.023
1746751876.222,0.359,341.024
1746751876.224,0.359,341.024
1746751876.225,0.359,341.025
1746751876.226,0.359,341.026
1746751876.227,0.359,341.027
1746751876.229,0.358,341.028
1746751876.230,0.358,341.029
1746751876.233,0.358,341.031
1746751876.234,0.358,341.032
1746751876.235,0.358,341.033
1746751876.237,0.358,341.034
1746751876.238,0.358,341.035
1746751876.239,0.358,341.036
1746751876.241,0.358,341.037
1746751876.242,0.358,341.038
1746751876.243,0.358,341.039
1746751876.245,0.358,341.040
1746751876.246,0.358,341.041
1746751876.248,0.358,341.042
1746751876.250,0.357,341.043
1746751876.251,0.357,341.044
1746751876.252,0.357,341.045
1746751876.253,0.357,341.046
1746751876.255,0.357,341.047
1746751876.256,0.357,341.048
1746751876.257,0.357,341.049
1746751876.259,0.357,341.050
1746751876.260,0.357,341.051
1746751876.261,0.357,341.052
1746751876.263,0.357,341.053
1746751876.264,0.357,341.054
1746751876.265,0.357,341.054
1746751876.267,0.357,341.055
1746751876.268,0.357,341.056
1746751876.269,0.356,341.057
1746751876.271,0.356,341.058
1746751876.272,0.356,341.059
1746751876.273,0.356,341.060
1746751876.274,0.356,341.061
1746751876.276,0.356,341.062
1746751876.277,0.356,341.063
1746751876.278,0.356,341.064
1746751876.280,0.356,341.065
1746751876.281,0.356,341.066
1746751876.282,0.356,341.067
1746751876.284,0.356,341.068
1746751876.285,0.356,341.069
1746751876.286,0.356,341.070
1746751876.287,0.356,341.071
1746751876.289,0.356,341.072
1746751876.290,0.356,341.073
1746751876.291,0.355,341.073
1746751876.293,0.355,341.074
1746751876.294,0.355,341.075
1746751876.295,0.355,341.076
1746751876.297,0.355,341.077
1746751876.298,0.355,341.078
1746751876.301,0.355,341.080
1746751876.302,0.355,341.081
1746751876.304,0.355,341.082
1746751876.305,0.355,341.083
1746751876.306,0.355,341.084
1746751876.308,0.355,341.085
1746751876.309,0.355,341.086
1746751876.310,0.355,341.087
1746751876.312,0.354,341.088
1746751876.313,0.354,341.089
1746751876.314,0.354,341.090
1746751876.316,0.354,341.091
1746751876.317,0.354,341.092
1746751876.318,0.354,341.093
1746751876.320,0.354,341.094
1746751876.321,0.354,341.095
1746751876.322,0.354,341.096
1746751876.324,0.354,341.097
1746751876.325,0.354,341.098
1746751876.326,0.354,341.099
1746751876.328,0.354,341.100
1746751876.329,0.354,341.101
1746751876.330,0.354,341.102
1746751876.332,0.354,341.103
1746751876.333,0.353,341.104
1746751876.334,0.353,341.105
1746751876.336,0.353,341.106
1746751876.337,0.353,341.107
1746751876.338,0.353,341.108
1746751876.340,0.353,341.109
1746751876.341,0.353,341.110
1746751876.342,0.353,341.111
1746751876.344,0.353,341.112
1746751876.345,0.353,341.113
1746751876.346,0.353,341.114
1746751876.348,0.353,341.115
1746751876.349,0.353,341.116
1746751876.350,0.353,341.117
1746751876.352,0.353,341.118
1746751876.354,0.352,341.120
1746751876.356,0.352,341.121
1746751876.357,0.352,341.122
1746751876.359,0.352,341.123
1746751876.360,0.352,341.124
1746751876.362,0.352,341.126
1746751876.363,0.352,341.127
1746751876.365,0.352,341.128
1746751876.366,0.352,341.129
1746751876.367,0.352,341.130
1746751876.369,0.352,341.131
1746751876.371,0.352,341.133
1746751876.373,0.352,341.134
1746751876.374,0.351,341.135
1746751876.376,0.351,341.136
1746751876.377,0.351,341.137
1746751876.378,0.351,341.138
