timestamp,qw,qx,qy,qz,roll,pitch,yaw
1746751870.891,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.901,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.911,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.921,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.931,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.941,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.951,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.961,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.971,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.981,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.991,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.001,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.011,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.021,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.031,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.041,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.051,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.061,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.071,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.081,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.091,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.893,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.903,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.913,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.923,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.933,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.943,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.953,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.963,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.973,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.983,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751870.993,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.003,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.013,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.023,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.033,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.043,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.053,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.063,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.073,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.083,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.093,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.891,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.901,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.911,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.921,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.931,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.941,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.951,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.961,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.971,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
1746751871.981,-0.029,0.425,-0.904,0.018,-176.688,2.121,-129.544
