timestamp,qw,qx,qy,qz,roll,pitch,yaw
1746751874.891,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.901,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.911,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.921,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.931,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.941,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.951,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.961,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.971,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.981,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.991,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.001,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.011,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.021,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.031,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.041,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.051,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.061,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.071,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.081,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.091,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.892,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.902,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.912,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.922,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.932,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.942,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.952,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.962,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.972,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.982,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751874.992,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.002,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.012,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.022,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.032,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.042,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.052,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
1746751875.062,0.686,-0.018,0.032,-0.726,-4.039,1.053,-93.279
