timestamp,qw,qx,qy,qz,roll,pitch,yaw
1747368895.904,0.994,0.042,0.061,-0.078,0.075,0.128,-0.151
1747368896.050,0.995,0.039,0.057,-0.073,0.070,0.120,-0.143
1747368896.051,0.995,0.039,0.057,-0.073,0.070,0.120,-0.143
1747368896.053,0.995,0.039,0.057,-0.073,0.070,0.120,-0.143
1747368896.054,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.055,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.057,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.058,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.060,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.062,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.063,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.064,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.066,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.067,0.995,0.039,0.057,-0.073,0.070,0.119,-0.142
1747368896.069,0.995,0.039,0.057,-0.073,0.069,0.119,-0.142
1747368896.070,0.995,0.039,0.057,-0.073,0.069,0.118,-0.141
1747368896.072,0.995,0.039,0.057,-0.072,0.069,0.118,-0.141
1747368896.073,0.995,0.039,0.056,-0.072,0.069,0.118,-0.141
1747368896.075,0.995,0.039,0.056,-0.072,0.069,0.118,-0.141
1747368896.076,0.995,0.039,0.056,-0.072,0.069,0.118,-0.141
1747368896.077,0.995,0.039,0.056,-0.072,0.069,0.118,-0.141
1747368896.079,0.995,0.039,0.056,-0.072,0.069,0.118,-0.141
1747368896.080,0.995,0.039,0.056,-0.072,0.069,0.118,-0.141
1747368896.082,0.995,0.038,0.056,-0.072,0.069,0.118,-0.141
1747368896.083,0.995,0.038,0.056,-0.072,0.069,0.118,-0.141
1747368896.085,0.995,0.038,0.056,-0.072,0.069,0.118,-0.141
1747368896.086,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.088,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.089,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.091,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.092,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.094,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.095,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.097,0.995,0.038,0.056,-0.072,0.069,0.117,-0.140
1747368896.098,0.995,0.038,0.056,-0.072,0.068,0.117,-0.140
1747368896.100,0.995,0.038,0.056,-0.072,0.068,0.117,-0.140
1747368896.101,0.995,0.038,0.056,-0.072,0.068,0.117,-0.139
1747368896.103,0.995,0.038,0.056,-0.071,0.068,0.116,-0.139
1747368896.105,0.995,0.038,0.056,-0.071,0.068,0.116,-0.139
1747368896.106,0.995,0.038,0.056,-0.071,0.068,0.116,-0.139
1747368896.108,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.109,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.111,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.112,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.114,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.115,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.117,0.995,0.038,0.055,-0.071,0.068,0.116,-0.139
1747368896.119,0.995,0.038,0.055,-0.071,0.068,0.115,-0.138
1747368896.120,0.995,0.038,0.055,-0.071,0.068,0.115,-0.138
1747368896.122,0.995,0.038,0.055,-0.071,0.068,0.115,-0.138
1747368896.137,0.995,0.037,0.055,-0.070,0.067,0.114,-0.137
1747368896.138,0.995,0.037,0.055,-0.070,0.067,0.114,-0.137
1747368896.140,0.995,0.037,0.055,-0.070,0.067,0.114,-0.137
1747368896.141,0.995,0.037,0.055,-0.070,0.067,0.114,-0.137
1747368896.143,0.995,0.037,0.054,-0.070,0.067,0.114,-0.137
1747368896.145,0.995,0.037,0.054,-0.070,0.067,0.114,-0.137
1747368896.146,0.995,0.037,0.054,-0.070,0.067,0.114,-0.137
1747368896.148,0.995,0.037,0.054,-0.070,0.067,0.114,-0.137
1747368896.149,0.995,0.037,0.054,-0.070,0.067,0.114,-0.136
1747368896.151,0.995,0.037,0.054,-0.070,0.067,0.113,-0.136
1747368896.153,0.995,0.037,0.054,-0.070,0.067,0.113,-0.136
1747368896.154,0.995,0.037,0.054,-0.070,0.067,0.113,-0.136
1747368896.156,0.995,0.037,0.054,-0.070,0.067,0.113,-0.136
1747368896.158,0.995,0.037,0.054,-0.070,0.066,0.113,-0.136
1747368896.159,0.995,0.037,0.054,-0.070,0.066,0.113,-0.136
1747368896.161,0.995,0.037,0.054,-0.070,0.066,0.113,-0.136
1747368896.163,0.995,0.037,0.054,-0.069,0.066,0.113,-0.136
1747368896.164,0.995,0.037,0.054,-0.069,0.066,0.113,-0.135
1747368896.166,0.995,0.037,0.054,-0.069,0.066,0.113,-0.135
1747368896.168,0.995,0.037,0.054,-0.069,0.066,0.112,-0.135
1747368896.170,0.995,0.037,0.054,-0.069,0.066,0.112,-0.135
1747368896.171,0.995,0.037,0.054,-0.069,0.066,0.112,-0.135
1747368896.173,0.995,0.037,0.054,-0.069,0.066,0.112,-0.135
1747368896.175,0.996,0.037,0.054,-0.069,0.066,0.112,-0.135
1747368896.176,0.996,0.037,0.054,-0.069,0.066,0.112,-0.135
1747368896.178,0.996,0.037,0.053,-0.069,0.066,0.112,-0.135
1747368896.180,0.996,0.036,0.053,-0.069,0.066,0.112,-0.134
1747368896.182,0.996,0.036,0.053,-0.069,0.066,0.112,-0.134
1747368896.183,0.996,0.036,0.053,-0.069,0.066,0.111,-0.134
1747368896.185,0.996,0.036,0.053,-0.069,0.066,0.111,-0.134
1747368896.187,0.996,0.036,0.053,-0.069,0.066,0.111,-0.134
1747368896.189,0.996,0.036,0.053,-0.069,0.065,0.111,-0.134
1747368896.190,0.996,0.036,0.053,-0.069,0.065,0.111,-0.134
1747368896.192,0.996,0.036,0.053,-0.068,0.065,0.111,-0.134
1747368896.194,0.996,0.036,0.053,-0.068,0.065,0.111,-0.134
1747368896.196,0.996,0.036,0.053,-0.068,0.065,0.111,-0.133
1747368896.197,0.996,0.036,0.053,-0.068,0.065,0.111,-0.133
1747368896.199,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.201,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.203,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.204,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.206,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.208,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.210,0.996,0.036,0.053,-0.068,0.065,0.110,-0.133
1747368896.211,0.996,0.036,0.053,-0.068,0.065,0.110,-0.132
1747368896.213,0.996,0.036,0.052,-0.068,0.065,0.110,-0.132
1747368896.215,0.996,0.036,0.052,-0.068,0.065,0.109,-0.132
1747368896.216,0.996,0.036,0.052,-0.068,0.065,0.109,-0.132
1747368896.218,0.996,0.036,0.052,-0.068,0.064,0.109,-0.132
1747368896.220,0.996,0.036,0.052,-0.068,0.064,0.109,-0.132
1747368896.228,0.996,0.035,0.052,-0.067,0.064,0.109,-0.131
1747368896.230,0.996,0.035,0.052,-0.067,0.064,0.109,-0.131
1747368896.232,0.996,0.035,0.052,-0.067,0.064,0.108,-0.131
1747368896.233,0.996,0.035,0.052,-0.067,0.064,0.108,-0.131
1747368896.235,0.996,0.035,0.052,-0.067,0.064,0.108,-0.131
1747368896.236,0.996,0.035,0.052,-0.067,0.064,0.108,-0.131
1747368896.238,0.996,0.035,0.052,-0.067,0.064,0.108,-0.131
1747368896.240,0.996,0.035,0.052,-0.067,0.064,0.108,-0.131
